Country Name,Country Code,Year,Access to electricity (% of population),Adjusted net national income per capita (current US$),Agricultural land (% of land area),"Central government debt, total (% of GDP)","Children in employment, total (% of children ages 7-14)",CO2 emissions (metric tons per capita),Current health expenditure per capita (current US$),"Current education expenditure, total (% of total expenditure in public institutions)","GDP per capita, PPP (constant 2021 international $)","Government expenditure on education, total (% of GDP)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Prevalence of HIV, total (% of population ages 15-49)","Prevalence of overweight, weight for height, female (% of children under 5)","Prevalence of overweight, weight for height, male (% of children under 5)","Pupil-teacher ratio, primary","Population, total",Population density (people per sq. km of land area),Surface area (sq. km)
Afghanistan,AFG,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42239854,NA,NA
Afghanistan,AFG,2022,85.3,NA,NA,NA,NA,NA,NA,NA,1955.2129044009373,NA,66.213,59.766,0.1,4.3,4.7,NA,41128771,NA,NA
Afghanistan,AFG,2021,97.7,339.68211440290645,58.741548226852494,NA,NA,NA,81.31976317999998,NA,2138.870247130856,NA,65.279,58.915,0.1,NA,NA,NA,40099462,61.480554405654445,652860
Afghanistan,AFG,2020,97.7,476.8990597364072,58.741548226852494,NA,NA,0.2234788720070676,80.28805542,NA,2776.56152113396,NA,65.432,59.866,0.1,NA,NA,NA,38972230,59.75228063719853,652860
Afghanistan,AFG,2019,97.7,469.47776010933046,58.276988179016605,NA,NA,0.29756365050010325,74.23410796999998,NA,2933.9585984536025,NA,66.677,60.619,0.1,NA,NA,NA,37769499,57.90825169035463,652860
Afghanistan,AFG,2018,93.4,467.2860344326284,58.276988179016605,NA,NA,0.2990826342259926,71.33430481,NA,2906.842600211035,NA,66.458,59.923,0.1,4.2,4,48.789790000000004,36686784,56.24823145209512,652860
Afghanistan,AFG,2017,97.7,498.04122115479777,58.12366803121598,NA,NA,0.28119581573237445,66.90921783,NA,2956.769925033705,4.34319019317627,66.099,60.105,0.1,NA,NA,47.98298,35643418,54.64854115879368,652860
Afghanistan,AFG,2016,97.7,485.7922294044408,58.12366803121598,NA,NA,0.2683587726566018,61.48645782,NA,2964.287172956696,4.54397010803223,65.096,61.193,0.1,NA,NA,44.58162,34636207,53.10428376492955,652860
Afghanistan,AFG,2015,71.5,550.241360031403,58.12366803121598,NA,NA,0.29797177471882247,60.05854034,80.4073333740234,2974.573321734513,3.2558000087738,64.576,60.76,0.1,NA,NA,43.38836,33753499,51.75091455468163,652860
Afghanistan,AFG,2014,89.5,577.2601843509807,58.12366803121598,NA,NA,0.283692395910162,60.18957901,80.69690704345699,3024.982120328026,3.6952199935913095,64.274,60.812,0.1,NA,NA,NA,32716210,50.16054152676203,652860
Armenia,ARM,2023,NA,NA,NA,NA,NA,NA,NA,NA,20780.64400421712,NA,NA,NA,NA,NA,NA,NA,2777970,NA,NA
Armenia,ARM,2022,100,NA,NA,46.55189866723508,NA,NA,NA,92.0447463989258,19100.245630794183,2.49326992034912,78.447,67.866,0.3,NA,NA,NA,2780469,NA,NA
Armenia,ARM,2021,100,4023.251428947314,58.82753775904461,60.080359768226046,NA,NA,613,95.37117004394528,16899.07091816764,2.77133989334106,77.34999999999998,66.554,0.3,NA,NA,NA,2790974,98.03210396909027,29740
Armenia,ARM,2020,100,3818.010299263511,58.86898489638216,63.40121400676678,NA,2.404683761951064,552,90.79579925537107,15889.343736596473,2.70555996894836,76.99599999999998,67.051,0.3,NA,NA,NA,2805608,98.54611872146118,29740
Armenia,ARM,2019,100,4222.088278196782,58.9041095890411,50.028420686370325,NA,2.196552367189699,549,NA,17031.11830724758,2.5719122886657706,79.85599999999998,70.403,0.3,NA,NA,NA,2820602,99.07277836318933,29740
Armenia,ARM,2018,99.9,3859.456562946276,58.91464699683878,NA,NA,2.01377938113001,439,NA,15739.146903696772,2.2558679580688494,79.601,69.992,0.3,NA,NA,15.41859,2836557,99.63319283456269,29740
Armenia,ARM,2017,99.7,3630.5411591644647,58.87249736564805,NA,NA,1.883395870084852,419,87.5886764526367,14880.556339771674,2.70759010314941,79.381,69.92,0.2,NA,NA,NA,2851923,100.17291886195996,29740
Armenia,ARM,2016,99.8,3245.3815561362776,58.89708465050931,NA,NA,1.767966404206802,366,90.7032318115234,13775.181113063369,2.75812005996704,79.203,69.673,0.2,12.7,14.6,NA,2865835,100.66157358623111,29740
Armenia,ARM,2015,100,3288.584087190859,58.89357218124341,NA,NA,1.856252789989561,371,100,13686.746126943854,2.80591011047363,78.833,69.595,0.2,NA,NA,NA,2878595,101.10976466455918,29740
Armenia,ARM,2014,99.7,3675.976964206676,59.034070951879166,NA,NA,1.8958936721650697,409,73.9683532714844,13210.332770755866,2.24724006652832,78.498,69.236,0.2,NA,NA,NA,2889930,101.50790305584826,29740
Bolivia,BOL,2023,NA,NA,NA,NA,NA,NA,NA,NA,9668.957101908158,NA,NA,NA,NA,NA,NA,NA,12388571,NA,NA
Bolivia,BOL,2022,99.9,NA,NA,NA,NA,NA,NA,96.4324569702148,9565.315725982704,7.740739822387699,67.907,62.265,0.4,NA,NA,NA,12224110,NA,NA
Bolivia,BOL,2021,98.6,2625.319924751943,35.18819089818149,NA,NA,NA,272.95922852,95.7545166015625,9342.971844273055,7.961740016937261,66.8,60.879,0.4,NA,NA,NA,12079472,11.150624942305917,1098580
Bolivia,BOL,2020,97.2,2626.220705349768,35.08508640265855,NA,NA,1.5394646956031597,246.19775391,96.5764770507812,8910.58780838611,8.437109947204588,67.841,61.559,0.4,NA,NA,NA,11936162,11.018334717991323,1098580
Bolivia,BOL,2019,95.1,2914.4925099051097,35.07377633157943,NA,NA,1.853461506294092,239.17544555999999,91.90196228027341,9895.420075354828,8.091039657592772,70.475,65.37,0.3,NA,NA,NA,11777315,10.87170220622173,1098580
Bolivia,BOL,2018,92.8,2882.4018620899974,34.96409055663251,NA,NA,1.8851881703175823,229.22540283,90.08608245849608,9822.956405391322,8.01587009429932,70.383,65.279,0.3,NA,NA,17.79827,11606905,10.714395827563925,1098580
Bolivia,BOL,2017,91.8,2742.074657026131,34.774805224776145,NA,NA,1.89131542884796,212.87913513,88.1523895263672,9566.125327144473,8.09724044799805,70.347,65.228,0.3,NA,NA,17.58897,11435533,10.556201421582202,1098580
Bolivia,BOL,2016,91.8,2598.9875010777755,34.879748084556454,NA,NA,1.893693651300296,205.92243958,88.273323059082,9321.59170111635,8.150609970092772,70.259,65.17,0.3,9.2,11.1,17.20856,11263015,10.39694913689652,1098580
Bolivia,BOL,2015,91.5,2515.201526724809,34.8470741253577,NA,13.92,1.8036741828398968,194.92401123,86.6422805786133,9079.79015096381,8.14342975616455,69.911,64.9,0.3,NA,NA,16.99771,11090085,10.237316532816394,1098580
Bolivia,BOL,2014,90,2371.150807937556,34.846157851010794,NA,NA,1.7842194004627832,178.20880127,83.33701324462889,8796.49559521951,7.478129863739009,69.771,64.737,0.3,NA,NA,16.75972,10916987,10.077528847041448,1098580
Chad,TCD,2023,NA,NA,NA,NA,NA,NA,NA,NA,1775.0638250109964,NA,NA,NA,NA,NA,NA,NA,18278568,NA,NA
Chad,TCD,2022,11.7,NA,NA,NA,NA,NA,NA,NA,1758.1962566611044,2.53900003433228,54.769,51.3,1,2,2.4,NA,17723315,NA,NA
Chad,TCD,2021,11.3,486.3379823454249,39.9761753494282,NA,NA,NA,35.63117981,NA,1764.3480756254871,2.8881299495697,54.283,50.845,1.1,1.4,1.8,NA,17179740,13.643376747141042,1284000
Chad,TCD,2020,10.9,455.87675894880056,39.9761753494282,NA,NA,0.09422818709690249,35.72977829,NA,1842.6060339506337,2.74000000953674,54.396,51.218,1.2,1.8,2.7,NA,16644701,13.218472839898348,1284000
Chad,TCD,2019,8.4,513.1965778403436,39.9761753494282,NA,NA,0.0981963885605548,31.30481529,NA,1932.6955245755296,2.3719999790191695,54.908,51.664,1.2,2.4,2.3,NA,16126866,12.807231575603558,1284000
Chad,TCD,2018,10.1,527.8435345959475,39.9761753494282,NA,NA,0.09980639840145704,32.30886459,NA,1934.609986778632,2.2590000629425,54.317,51.372,1.3,NA,NA,NA,15604210,12.392161689961881,1284000
Chad,TCD,2017,10.9,472.59415206712976,39.9761753494282,NA,NA,0.09864851141636778,31.06099701,NA,1954.675253833424,2.4548199176788295,53.752,50.898,1.3,2,2.1,NA,15085884,11.980530495552731,1284000
Chad,TCD,2016,9.2,521.8996154552837,39.9761753494282,NA,NA,0.10072718438850964,33.10380936,NA,2083.007361328981,2.38800001144409,53.317,50.867,1.3,NA,NA,56.88788,14592585,11.58877461880559,1284000
Chad,TCD,2015,7.7,598.2705844120036,39.895965692503175,NA,55.8956202521172,0.10456303746306472,35.03440857,NA,2293.0817604593,2.34299993515015,53.132,50.09,1.4,2.8,2.8,55.54179,14140274,11.22956956797967,1284000
Chad,TCD,2014,8.4,774.0643005452457,39.89517153748412,NA,NA,0.10827818916172634,43.6758728,NA,2303.516778285872,2.3199999332428,52.63,49.808,1.4,NA,NA,56.16602,13697126,10.877641359593392,1284000
Czechia,CZE,2023,NA,NA,NA,NA,NA,NA,NA,NA,47730.524254223375,NA,NA,NA,NA,NA,NA,NA,10873689,NA,NA
Czechia,CZE,2022,100,NA,NA,46.82282013961928,NA,NA,NA,NA,48783.992777454005,NA,82,76.2,0.1,NA,NA,NA,10672118,NA,NA
Czechia,CZE,2021,100,19843.782905674994,45.73056051142403,47.28267817939511,NA,NA,2498.51660156,NA,48418.11578718684,5.05000019073486,80.5,74.09999999999998,0.1,NA,NA,NA,10505772,136.10834905384766,78871.04
Czechia,CZE,2020,100,16844.235107959368,45.64686659188977,45.61687234011621,NA,8.304017495838886,2119.26831055,90.7906036376953,45917.290431700494,4.72159004211426,81.3,75.2,0.1,NA,NA,NA,10697858,138.57592884216837,78871.01
Czechia,CZE,2019,100,17471.655286562054,45.6399997409511,36.64400816507232,NA,9.156117906233865,1803.05249023,88.9959716796875,48709.5802177969,4.54246997833252,82.2,76.4,0.1,NA,NA,NA,10671870,138.22681026610798,78870.04
Czechia,CZE,2018,100,17451.20066787583,45.62880455899495,38.3434234112355,NA,9.664628020058084,1753.19897461,87.38809967041021,47463.6793908932,4.26605987548828,82,76.2,0.1,NA,NA,NA,10629928,137.67553425722056,78870
Czechia,CZE,2017,100,15315.252111987253,45.60290117860381,40.8588144620068,NA,9.773987067553747,1525.34790039,91.2352828979492,46137.02379248391,3.8061599731445295,82,76.09999999999998,0.1,NA,NA,NA,10594438,137.21587877217976,78870
Czechia,CZE,2016,100,13479.639182783772,45.17549540214998,44.410598321031216,NA,9.747753525064327,1384.66357422,94.5649871826172,43986.2199023629,5.55373001098633,82.1,76.09999999999998,0.1,NA,NA,NA,10566332,136.85185856754308,78870
Czechia,CZE,2015,100,12903.368094770947,45.25320554332341,47.77259285619467,NA,9.59291997133716,1314.83728027,92.1355590820312,42980.24481074549,5.75182008743286,81.59999999999998,75.7,0.1,NA,NA,NA,10546059,136.58928895220825,78870
Czechia,CZE,2014,100,14284.856685489418,45.532245532245526,50.30542371586505,NA,9.497131068457886,1516.05627441,88.85929107666021,40862.96980865888,3.96522998809814,82,75.8,0.1,NA,NA,NA,10525347,136.30337995337996,78870
Finland,FIN,2023,NA,NA,NA,NA,NA,NA,NA,NA,57505.50870115088,NA,NA,NA,NA,NA,NA,NA,5584264,NA,NA
Finland,FIN,2022,100,NA,NA,60.7870385935813,NA,NA,NA,NA,58401.61921595248,NA,83.8,78.7,NA,NA,NA,NA,5556106,NA,NA
Finland,FIN,2021,100,44416.20019893984,7.4618100416617725,66.21293843551527,NA,NA,5488,NA,57788.9034581748,5.71000003814697,84.6,79.3,NA,NA,NA,NA,5541017,18.230165913412076,338470
Finland,FIN,2020,100,40405.34387400044,7.4685793248667505,70.21105873852073,NA,6.570145127725746,4736,88.63752746582028,56310.62094632411,6.6349401473999,84.8,79.2,NA,NA,NA,NA,5529543,18.192876883595446,338460
Finland,FIN,2019,100,39659.4052411715,7.481985983614649,60.532898631690415,NA,7.423039601159517,4460,89.54518127441409,57751.594238310485,6.41695022583008,84.8,79.3,NA,NA,NA,NA,5521606,18.167360905471654,338460
Finland,FIN,2018,100,40864.148368594106,7.475651487233483,60.26548217697098,NA,8.04918842721228,4522,91.4747924804688,57115.742332222726,6.275579929351809,84.5,79.09999999999998,NA,NA,NA,NA,5515525,18.147950118452226,338450
Finland,FIN,2017,100,37839.34243894573,7.4690708081073955,60.19328239822184,NA,7.809318955291134,4236,90.97972106933587,56547.074321131055,6.3631100654602095,84.5,78.9,NA,NA,NA,13.66688,5508214,18.123894445906817,338450
Finland,FIN,2016,100,35796.98257574041,7.4857688131354685,62.76216221186293,NA,8.316247529936021,4109,91.1962585449219,54926.45211936952,6.85153007507324,84.4,78.59999999999998,NA,NA,NA,13.32179,5495303,18.082007831265834,338450
Finland,FIN,2015,100,35093.91463971022,7.4805040966075484,62.36346003737256,NA,7.8136979241471565,4128,91.15679931640621,53578.220549239966,7.03208017349243,84.4,78.7,NA,NA,NA,NA,5479531,18.03011088809187,338446
Finland,FIN,2014,100,41149.74787975601,7.460265227549441,60.48855227480341,NA,8.452183204943978,4923,93.6928787231445,53464.325806246976,7.10236978530884,84.1,78.4,NA,NA,NA,13.33204,5461512,17.972003027411233,338420
"Hong Kong SAR, China",HKG,2023,NA,NA,NA,NA,NA,NA,NA,NA,64431.08908780889,NA,NA,NA,NA,NA,NA,NA,7536100,NA,NA
"Hong Kong SAR, China",HKG,2022,100,NA,NA,NA,NA,NA,NA,NA,64038.660749514806,3.72912001609802,86.77,80.7,NA,NA,NA,NA,7346100,NA,NA
"Hong Kong SAR, China",HKG,2021,100,NA,3.8095238095238098,NA,NA,NA,NA,NA,65884.93762606029,4.00030994415283,87.94,83.24,NA,NA,NA,NA,7413100,7060.0952380952385,1110
"Hong Kong SAR, China",HKG,2020,100,NA,3.8095238095238098,NA,NA,NA,NA,NA,61328.55606108944,4.405620098114009,87.75,83.35,NA,NA,NA,NA,7481000,7124.761904761905,1110
"Hong Kong SAR, China",HKG,2019,100,NA,4.761904761904762,NA,NA,NA,NA,NA,65388.34487904632,3.81017994880676,88.06,82.39,NA,NA,NA,NA,7507900,7150.380952380952,1110
"Hong Kong SAR, China",HKG,2018,100,NA,4.761904761904762,NA,NA,NA,NA,NA,66993.96624158222,3.32624006271362,87.61,82.26,NA,NA,NA,13.34788,7452600,7097.714285714285,1110
"Hong Kong SAR, China",HKG,2017,100,NA,4.857142857142857,NA,NA,NA,NA,NA,65662.85969981215,3.30989003181458,87.61,81.92,NA,NA,NA,13.76886,7393200,7041.142857142857,1110
"Hong Kong SAR, China",HKG,2016,100,NA,4.761904761904762,NA,NA,NA,NA,NA,63749.4451717062,3.2926900386810294,87.3,81.27,NA,NA,NA,13.67502,7336600,6987.238095238095,1110
"Hong Kong SAR, China",HKG,2015,100,NA,4.857142857142857,NA,NA,NA,NA,NA,62779.794080864005,3.2621200084686306,87.29,81.36,NA,NA,NA,13.66248,7291300,6944.0952380952385,1106
"Hong Kong SAR, China",HKG,2014,100,NA,4.857142857142857,NA,NA,NA,NA,NA,61839.81989676653,3.5725500583648695,86.85,81.16,NA,NA,NA,13.84932,7229500,6885.238095238095,1105
Kazakhstan,KAZ,2023,NA,NA,NA,NA,NA,NA,NA,NA,35452.9698522831,NA,NA,NA,NA,NA,NA,NA,19900177,NA,NA
Kazakhstan,KAZ,2022,100,NA,NA,NA,NA,NA,NA,NA,34188.206223064146,4.204999923706049,78.41,70.26,NA,NA,NA,NA,19634983,NA,NA
Kazakhstan,KAZ,2021,100,6545.72172734553,79.1924658295366,22.41204058154569,NA,NA,403,NA,33893.895457204315,4.38600015640259,74.03,66.33,NA,NA,NA,NA,19191356,7.1086994851279774,2724900
Kazakhstan,KAZ,2020,100,6769.059868167571,79.26925213912656,23.71576050243813,NA,11.297743305942856,338,NA,33251.43164148957,4.44600009918213,75.53,67.09,NA,NA,NA,NA,18755666,6.947314886839278,2724900
Kazakhstan,KAZ,2019,100,6710.962812668778,79.2585472459903,18.48304694775193,NA,11.050870348633683,270,100,34549.80769691983,2.8569700717926,77.3,68.82,NA,NA,NA,17.21457,18513673,6.857677890135941,2724902
Kazakhstan,KAZ,2018,100,6607.201973819864,80.02226173278513,21.97226009284664,NA,11.867549565966089,273,95.4510269165039,33491.14862375482,2.61595010757446,77.19,68.84,NA,NA,NA,19.63913,18276452,6.769808497240434,2724902
Kazakhstan,KAZ,2017,100,6649.911891666966,80.08804682001703,16.600807915461584,NA,11.9137581041033,278,95.8016204833984,32597.794216455008,2.7508199214935294,76.92,68.72,NA,NA,NA,20.75555,18037776,6.681400155572842,2724902
Kazakhstan,KAZ,2016,100,5751.421487459379,80.09856650738969,16.76932744887021,NA,11.37883973046054,260,95.94686126708979,31742.82282550388,2.97810006141663,76.61,67.99,NA,NA,NA,18.5511,17794055,6.591123087750491,2724902
Kazakhstan,KAZ,2015,100,8079.618062632966,80.10508575026854,21.19575379726281,NA,10.89105129475866,314,96.5392837524414,31847.126826459586,2.7885799407959,76.26,67.49,NA,10,8.699999999999998,16.2004,17542806,6.498057561951328,2724902
Kazakhstan,KAZ,2014,100,8915.158593029153,80.30499685150201,14.147283751162284,NA,12.104225491423817,374,94.62532043457027,31932.792006973912,3.42165279388428,75.81999999999998,66.9,NA,NA,NA,16.85665,17288285,6.403780049635144,2724902
Mali,MLI,2023,NA,NA,NA,NA,NA,NA,NA,NA,2457.085223531054,NA,NA,NA,NA,NA,NA,NA,23293698,NA,NA
Mali,MLI,2022,53,NA,NA,NA,NA,NA,NA,NA,2407.1696640692694,4.03499984741211,60.832,58.068,0.9,0.9,1,NA,22593590,NA,NA
Mali,MLI,2021,53.4,662.1401852393037,35.34777370737344,NA,NA,NA,40.1202507,97.9596099853516,2399.461534744067,4.36370992660522,60.331,57.618,0.9,1.1,0.6,NA,21904983,17.952108278218965,1240190
Mali,MLI,2020,50.6,687.2275509093791,35.1928797974086,NA,NA,0.19556597141731727,28.85294724,97.39769744873048,2403.0878442864155,3.9544599056243905,59.94,57.385,1,1.1,1.1,NA,21224040,17.394045189683574,1240190
